Country,City,CameraName,CameraURL
,,,https://www.earthcam.com/usa/newyork/lakegeorge/
,,,https://www.earthcam.com/usa/newyork/montauk/
,,,https://www.earthcam.com/usa/newyork/longislandcity/
,,,https://www.earthcam.com/usa/newyork/pathofliberty/?cam=pathofliberty
,,,https://www.earthcam.com/usa/newyork/portjefferson/
,,,https://www.earthcam.com/usa/newyork/pulaski/?cam=pulaski_salmon2
,,,https://www.earthcam.com/usa/newyork/pulaski/?cam=pulaski_salmon
,,,https://www.earthcam.com/usa/newyork/stonybrook/?cam=stonybrook_town
,,,https://www.earthcam.com/usa/newyork/stonybrook/?cam=stonybrook_village
,,,https://www.earthcam.com/usa/newyork/midtown/onevanderbilt/
,,,https://www.earthcam.com/usa/newyork/saranaclake/waterfront/?cam=saranac_waterfront1
,,,https://www.earthcam.com/usa/newyork/saranaclake/waterfront/?cam=saranac_waterfront2
us,"NC, Ennice",Blue Ridge Parkway Cam,https://myearthcam.com/mountainwxman
us,"NC, Asheville",Asheville Cam,https://www.earthcam.com/usa/northcarolina/asheville/?cam=asheville
us,"NC, Belmont",Belmont Cam,https://www.earthcam.com/usa/northcarolina/belmont/
us,"NC, Asheville",Biltmore House,https://www.earthcam.com/usa/northcarolina/asheville/biltmore/?cam=biltmorehouse
us,"NC, Manteo",Bonner Pier Cam,https://www.earthcam.com/usa/northcarolina/manteo/
us,"NC, Hickory",Hickory Foothills Cam,https://www.earthcam.com/usa/northcarolina/hickory/
us,"NC, Mooresville",Lake Norman Wildlife Cam,https://www.earthcam.com/usa/northcarolina/mooresville/?cam=ncwildlife
us,"NC, Mooresville",Osprey Cam,https://www.earthcam.com/usa/northcarolina/mooresville/?cam=osprey_nc
us,"NC, Columbia",Red Wolf Cam,https://www.earthcam.com/usa/northcarolina/columbia/redwolf/?cam=redwolfcenter
us,"NC, Columbia",Red Wolf Den,https://www.earthcam.com/usa/northcarolina/columbia/redwolf/?cam=redwolfcenter_den
us,"ND, Cavalier",City of Cavalier Cam,https://www.earthcam.com/usa/northdakota/cavalier/
us,"ND, Lakota",City of Lakota Cam,https://www.earthcam.com/usa/northdakota/lakota/
us,"OH, Cincinnati",Cincinnati Cam,https://www.earthcam.com/usa/ohio/cincinnati/?cam=cincinnati
us,"OH, Cincinnati",Cincinnati Skyline Cam,https://www.earthcam.com/usa/ohio/cincinnati/skyline/
us,"OH, Lakewood",Cleveland Cam,https://www.earthcam.com/usa/ohio/cleveland/
us,"OH, Cleveland",Terminal Tower Cam,https://www.earthcam.com/usa/ohio/cleveland/terminaltower/
us,"OH, Northwood",Holiday Critters Cam,https://myearthcam.com/ohiolutes
us,"OK, Alva",Northwestern Oklahoma State University Campus Cam,https://www.earthcam.com/usa/oklahoma/alva/
